INCIDENT INFO,DESCRIPTION,START_DT,MODIFIED_DT,QUADRANT,Longitude,Latitude,location,Count
Eastbound Glenmore Trail at 14 Street SW,2 vehicle incident.,12/10/2016 05:28:28 PM,12/10/2016 06:20:34 PM,SW,-114.101595818037,50.9963892678367,"(50.9963892678367, -114.101595818037)",1
James McKevitt Road at Bridlewood Road SW,Single vehicle incident.,12/10/2016 05:25:21 PM,12/10/2016 05:51:46 PM,SW,-114.098665167824,50.902813390498,"(50.902813390498, -114.098665167824)",1
Crowchild Trail at 53 Street NW,2 vehicle incident.,12/10/2016 04:47:20 PM,12/10/2016 04:50:56 PM,NW,-114.165924105603,51.1045323086927,"(51.1045323086927, -114.165924105603)",1
Eastbound Glenmore Trail at Centre Street SE,Single vehicle incident.,12/10/2016 02:25:20 PM,12/10/2016 02:55:15 PM,SE,-114.063805322754,50.9941556191458,"(50.9941556191458, -114.063805322754)",1
Southbound Deerfoot Trail approaching 17 Avenue SE,Single vehicle incident.,12/10/2016 02:07:51 PM,12/10/2016 02:14:07 PM,NW,-114.008611991531,51.0370350874538,"(51.0370350874538, -114.008611991531)",1
25 Avenue at 2 Street SW,2 vehicle incident.,12/10/2016 11:08:24 AM,12/10/2016 11:09:29 AM,NW,-114.069033666228,51.0305067961009,"(51.0305067961009, -114.069033666228)",1
Westbound Glenmore Trail at Deerfoot Trail SE,Single vehicle incident in the left lane.,12/10/2016 09:32:57 AM,12/10/2016 09:37:48 AM,SE,-114.039173086151,50.9941565858237,"(50.9941565858237, -114.039173086151)",1
Beddington Trail at Deerfoot Trail NE,Single vehicle incident on the offramp to southbound Deerfoot Trail.,12/10/2016 06:59:30 AM,12/10/2016 07:02:57 AM,NE,-114.046154501425,51.1221655702783,"(51.1221655702783, -114.046154501425)",1
Northbound 14 Street north of Heritage Drive SW,Single vehicle incident,12/09/2016 10:40:57 PM,12/09/2016 10:42:13 PM,SW,-114.094693702317,50.9809080290935,"(50.9809080290935, -114.094693702317)",1
Eastbound Anderson Road approaching 14 Street SW,2 vehicle incident.,12/09/2016 06:20:14 PM,12/09/2016 06:21:31 PM,SW,-114.097344384191,50.9505907010468,"(50.9505907010468, -114.097344384191)",1
Southbound Nose Hill Drive approaching Crowchild Trail NW,Multi vehicle incident.,12/09/2016 05:38:05 PM,12/09/2016 05:55:52 PM,NW,-114.203240843777,51.1196837849704,"(51.1196837849704, -114.203240843777)",1
Northbound Stoney Trail to westbound 16 Avenue NE,Single vehicle incident.,12/09/2016 11:16:00 AM,12/09/2016 11:20:00 AM,NE,-113.9297317,51.06703025,"(51.0670302472081, -113.929731671065)",1
Eastbound Blackfoot Trail at 19 Street SE,2 vehicle incident blocking the right lane. No through traffic on 19 Street SE.,12/09/2016 10:35:00 AM,12/09/2016 10:46:00 AM,SE,-114.0179151,51.0374169,"(51.0374169048994, -114.017915085819)",1
